english_word,bahasa_translation,example_usage,pronunciation
big,besar,That's a big house.,bɪɡ
small,kecil,The cat is very small.,smɔːl
beautiful,cantik,What a beautiful garden!,ˈbjuːtɪfl
difficult,sulit,This problem is difficult.,ˈdɪfɪkəlt
easy,mudah,The test was easy.,ˈiːzi
schedule,jadwal,Check your schedule for next week.,ˈʃedjuːl
appointment,janji,I have an appointment at 3 PM.,əˈpɔɪntmənt
early,awal,I wake up early every day.,ˈɜːli
late,terlambat,Sorry I'm late for the meeting.,leɪt
busy,sibuk,I'm very busy this week.,ˈbɪzi
speak,berbicara,Can you speak English?,spiːk
listen,mendengarkan,Please listen carefully.,ˈlɪsn
write,menulis,I need to write a letter.,raɪt
read,membaca,I like to read books.,riːd
wake up,bangun,I wake up at 6 AM every day.,weɪk ʌp
shower,mandi,I take a shower in the morning.,ˈʃaʊə
brush,menyikat,Don't forget to brush your teeth.,brʌʃ
cook,memasak,I like to cook dinner for my family.,kʊk
clean,membersihkan,We clean the house every weekend.,kliːn
spoon,sendok,"Pass me the spoon, please.",spuːn
fork,garpu,Use your fork to eat the salad.,fɔːk
plate,piring,Put the food on the plate.,pleɪt
pan,wajan,Heat the oil in the pan.,pæn
refrigerator,kulkas,Store the milk in the refrigerator.,rɪˈfrɪdʒəreɪtə
laptop,laptop,I need to charge my laptop.,ˈlæptɒp
tablet,tablet,She reads books on her tablet.,ˈtæblət
charger,pengisi daya,Don't forget your phone charger.,ˈtʃɑːdʒə
headphones,headphone,I listen to music with headphones.,ˈhedfəʊnz
camera,kamera,Take a picture with the camera.,ˈkæmərə
love,cinta,I love my family very much.,lʌv
afraid,takut,Don't be afraid to try new things.,əˈfreɪd
surprised,terkejut,I was surprised by the news.,səˈpraɪzd
proud,bangga,I'm proud of your achievement.,praʊd
worried,khawatir,She's worried about the exam.,ˈwʌrid
sunny,cerah,It's a sunny day today.,ˈsʌni
cloudy,berawan,The sky is cloudy this morning.,ˈklaʊdi
storm,badai,There's a storm coming.,stɔːm
humid,lembab,The weather is very humid.,ˈhjuːmɪd
foggy,berkabut,Be careful driving in foggy weather.,ˈfɒɡi
toothbrush,sikat gigi,I need a new toothbrush.,ˈtuːθbrʌʃ
soap,sabun,We're out of hand soap.,səʊp
shampoo,sampo,I forgot to buy shampoo.,ʃæmˈpuː
towel,handuk,Hang the wet towel to dry.,ˈtaʊəl
comb,sisir,Can I borrow your comb?,kəʊm
password,kata sandi,Don't share your password.,ˈpɑːswɜːd
upload,unggah,I'll upload the photos later.,ˈʌpləʊd
download,unduh,You can download the app here.,ˈdaʊnləʊd
share,bagikan,Please share this post.,ʃeə
message,pesan,I sent you a message.,ˈmesɪdʒ
ticket,tiket,Have you bought the train ticket?,ˈtɪkɪt
station,stasiun,The station is very crowded.,ˈsteɪʃn
passenger,penumpang,All passengers must fasten their seatbelts.,ˈpæsɪndʒə
taxi,taksi,Let's take a taxi home.,ˈtæksi
motorcycle,sepeda motor,He rides a motorcycle to work.,ˈməʊtəsaɪkl
emergency,darurat,Call emergency services immediately.,ɪˈmɜːdʒənsi
police,polisi,The police arrived quickly.,pəˈliːs
ambulance,ambulans,An ambulance is on its way.,ˈæmbjʊləns
fire,api,There's a fire in the building!,ˈfaɪə
safe,aman,Make sure you're safe.,seɪf
wallet,dompet,I left my wallet at home.,ˈwɒlɪt
receipt,struk,Please keep the receipt.,rɪˈsiːt
expensive,mahal,This restaurant is expensive.,ɪkˈspensɪv
cheap,murah,These shoes are very cheap.,tʃiːp
sale,obral,The sale starts tomorrow.,seɪl
now,sekarang,We need to leave now.,naʊ
later,nanti,I'll do it later.,ˈleɪtə
soon,segera,The movie will start soon.,suːn
always,selalu,She's always on time.,ˈɔːlweɪz
never,tidak pernah,I never drink coffee.,ˈnevə
reading,membaca,Reading is my favorite hobby.,ˈriːdɪŋ
cooking,memasak,Cooking helps me relax.,ˈkʊkɪŋ
gardening,berkebun,She enjoys gardening on weekends.,ˈɡɑːdnɪŋ
photography,fotografi,Photography is his passion.,fəˈtɒɡrəfi
traveling,bepergian,I love traveling to new places.,ˈtrævəlɪŋ
mathematics,matematika,Mathematics is my best subject.,ˌmæθəˈmætɪks
science,ilmu pengetahuan,We learn science in the laboratory.,ˈsaɪəns
history,sejarah,I find history fascinating.,ˈhɪstri
geography,geografi,We studied world geography today.,dʒiˈɒɡrəfi
literature,sastra,English literature is interesting.,ˈlɪtrətʃə
kilogram,kilogram,Buy two kilograms of rice.,ˈkɪləɡræm
meter,meter,The room is five meters wide.,ˈmiːtə
liter,liter,I need a liter of milk.,ˈliːtə
dozen,lusin,I bought a dozen eggs.,ˈdʌzn
piece,potong,Would you like a piece of cake?,piːs
smart,pintar,She's a smart student.,smɑːt
kind,baik hati,He's very kind to everyone.,kaɪnd
lazy,malas,"Don't be lazy, do your homework.",ˈleɪzi
honest,jujur,Always be honest with people.,ˈɒnɪst
flour,tepung,We need flour to make bread.,ˈflaʊə
sugar,gula,Add two spoons of sugar.,ˈʃʊɡə
salt,garam,The soup needs more salt.,sɔːlt
pepper,merica,Add some black pepper to taste.,ˈpepə
oil,minyak,Heat the oil in the pan.,ɔɪl
nurse,perawat,The nurse took my temperature.,nɜːs
writer,penulis,She works as a writer.,ˈraɪtə
architect,arsitek,He's an architect in a big firm.,ˈɑːkɪtekt
pilot,pilot,My brother is an airline pilot.,ˈpaɪlət
dentist,dokter gigi,I have an appointment with the dentist.,ˈdentɪst
ball,bola,Throw me the ball.,bɔːl
racket,raket,I need a new tennis racket.,ˈrækɪt
gloves,sarung tangan,Don't forget your boxing gloves.,ɡlʌvz
net,jaring,The volleyball net needs fixing.,net
bat,pemukul,This baseball bat is too heavy.,bæt
sofa,sofa,The sofa is very comfortable.,ˈsəʊfə
mirror,cermin,Look at yourself in the mirror.,ˈmɪrə
lamp,lampu,"Turn on the lamp, please.",læmp
carpet,karpet,This carpet needs cleaning.,ˈkɑːpɪt
curtain,gorden,Close the curtains at night.,ˈkɜːtn
pencil,pensil,I need to sharpen my pencil.,ˈpensəl
eraser,penghapus,Can I borrow your eraser?,ɪˈreɪzə
ruler,penggaris,Use a ruler to draw straight lines.,ˈruːlə
scissors,gunting,These scissors are very sharp.,ˈsɪzəz
glue,lem,We need glue for this project.,ɡluː
fever,demam,He has a high fever.,ˈfiːvə
headache,sakit kepala,I have a terrible headache.,ˈhedeɪk
cough,batuk,This cough won't go away.,kɒf
allergy,alergi,I have an allergy to peanuts.,ˈælədʒi
prescription,resep dokter,Get this prescription filled.,prɪˈskrɪpʃn
passport,paspor,Don't forget your passport.,ˈpɑːspɔːt
tourist,wisatawan,Many tourists visit this temple.,ˈtʊərɪst
hotel,hotel,We're staying at this hotel.,həʊˈtel
guide,pemandu,Our tour guide was very helpful.,ɡaɪd
vacation,liburan,We're planning our summer vacation.,vəˈkeɪʃn
keyboard,papan ketik,My keyboard needs cleaning.,ˈkiːbɔːd
mouse,tetikus,The computer mouse isn't working.,maʊs
printer,pencetak,The printer is out of ink.,ˈprɪntə
software,perangkat lunak,Update your software regularly.,ˈsɒftweə
virus,virus,My computer has a virus.,ˈvaɪrəs
guitar,gitar,He plays the guitar very well.,ɡɪˈtɑː
piano,piano,She takes piano lessons.,piˈænəʊ
drum,drum,The drum beat is too loud.,drʌm
violin,biola,The violin needs tuning.,ˌvaɪəˈlɪn
flute,seruling,She plays the flute in the orchestra.,fluːt
grass,rumput,The grass needs cutting.,ɡrɑːs
seed,biji,Plant these seeds in spring.,siːd
leaf,daun,The leaves are turning brown.,liːf
root,akar,The plant has strong roots.,ruːt
garden,kebun,Our garden is full of flowers.,ˈɡɑːdn
lawyer,pengacara,I need to speak with my lawyer.,ˈlɔːjə
contract,kontrak,Read the contract carefully.,ˈkɒntrækt
witness,saksi,She was a witness to the accident.,ˈwɪtnəs
court,pengadilan,The case is going to court.,kɔːt
judge,hakim,The judge made his decision.,dʒʌdʒ
account,rekening,I opened a new bank account.,əˈkaʊnt
loan,pinjaman,I need to apply for a loan.,ləʊn
credit,kredit,Pay with credit card.,ˈkredɪt
savings,tabungan,Put some money in savings.,ˈseɪvɪŋz
interest,bunga,The interest rate is low.,ˈɪntrəst
hammer,palu,Use the hammer carefully.,ˈhæmə
screwdriver,obeng,Pass me the screwdriver.,ˈskruːdraɪvə
saw,gergaji,This saw is very sharp.,sɔː
drill,bor,We need a drill for this job.,drɪl
ladder,tangga,Hold the ladder steady.,ˈlædə
belt,ikat pinggang,This belt is too loose.,belt
watch,jam tangan,My watch is broken.,wɒtʃ
necklace,kalung,That's a beautiful necklace.,ˈnekləs
umbrella,payung,"Take an umbrella, it might rain.",ʌmˈbrelə
glasses,kacamata,I can't find my glasses.,ˈɡlɑːsɪz
menu,menu,"Can I see the menu, please?",ˈmenjuː
waiter,pelayan,"Call the waiter, please.",ˈweɪtə
bill,tagihan,Could we have the bill?,bɪl
reservation,reservasi,Do we need a reservation?,ˌrezəˈveɪʃn
helicopter,helikopter,The helicopter landed on the roof.,ˈhelɪkɒptə
ship,kapal,The ship sails at dawn.,ʃɪp
ferry,kapal feri,We took the ferry to the island.,ˈferi
scooter,skuter,He rides a scooter to work.,ˈskuːtə
subway,kereta bawah tanah,The subway is faster than the bus.,ˈsʌbweɪ
stapler,stapler,The stapler is out of staples.,ˈsteɪplə
paperclip,klip kertas,Attach it with a paperclip.,ˈpeɪpəklɪp
envelope,amplop,Put the letter in an envelope.,ˈenvələʊp
calendar,kalender,Mark the date on the calendar.,ˈkælɪndə
folder,map,Keep your documents in this folder.,ˈfəʊldə
vegetable,sayuran,Eat more vegetables.,ˈvedʒtəbl
fruit,buah,Fresh fruit is good for you.,fruːt
meat,daging,I don't eat meat.,miːt
seafood,makanan laut,I love seafood.,ˈsiːfuːd
dessert,makanan penutup,What's for dessert?,dɪˈzɜːt
toothpaste,pasta gigi,We need new toothpaste.,ˈtuːθpeɪst
toilet,toilet,The toilet is broken.,ˈtɔɪlət
sink,wastafel,Wash your hands in the sink.,sɪŋk
knife,pisau,This knife is very sharp.,naɪf
bowl,mangkuk,Put the soup in a bowl.,bəʊl
cup,cangkir,Pour me a cup of tea.,kʌp
kettle,ketel,The kettle is boiling.,ˈketl
blender,blender,Use the blender for smoothies.,ˈblendə
sing,bernyanyi,She loves to sing.,sɪŋ
jump,melompat,The children jump rope.,dʒʌmp
laugh,tertawa,That joke made me laugh.,lɑːf
cry,menangis,The baby started to cry.,kraɪ
tall,tinggi,He's very tall for his age.,tɔːl
short,pendek,The skirt is too short.,ʃɔːt
heavy,berat,This box is heavy.,ˈhevi
light,ringan,This bag is very light.,laɪt
soft,lembut,This pillow is soft.,sɒft
shoulder,bahu,My shoulder hurts.,ˈʃəʊldə
knee,lutut,I injured my knee.,niː
ankle,pergelangan kaki,She twisted her ankle.,ˈæŋkl
elbow,siku,Rest your elbow on the table.,ˈelbəʊ
wrist,pergelangan tangan,My wrist is sore.,rɪst
roof,atap,The roof needs repair.,ruːf
wall,dinding,Paint the wall blue.,wɔːl
ceiling,langit-langit,The ceiling is too high.,ˈsiːlɪŋ
floor,lantai,The floor is wet.,flɔː
stairs,tangga,Walk up the stairs.,steəz
smartphone,ponsel pintar,I need a new smartphone.,ˈsmɑːtfəʊn
microwave,microwave,Heat it in the microwave.,ˈmaɪkrəweɪv
speaker,pengeras suara,The speaker is too loud.,ˈspiːkə
remote,remot,Where's the TV remote?,rɪˈməʊt
battery,baterai,The battery is dead.,ˈbætri
physics,fisika,Physics is challenging.,ˈfɪzɪks
chemistry,kimia,I love chemistry class.,ˈkemɪstri
biology,biologi,We study biology in lab.,baɪˈɒlədʒi
art,seni,Art is my favorite subject.,ɑːt
ocean,lautan,The ocean is vast.,ˈəʊʃn
forest,hutan,We walked through the forest.,ˈfɒrɪst
desert,gurun,The desert is hot and dry.,ˈdezət
valley,lembah,The valley is beautiful.,ˈvæli
hill,bukit,Let's climb that hill.,hɪl
sweater,sweter,"Wear a sweater, it's cold.",ˈswetə
scarf,syal,This scarf is warm.,skɑːf
hat,topi,Wear a hat in the sun.,hæt
socks,kaus kaki,My socks are wet.,sɒks
purple,ungu,I like the purple flowers.,ˈpɜːpl
orange,oranye,The orange sunset is beautiful.,ˈɒrɪndʒ
brown,cokelat,His eyes are brown.,braʊn
grey,abu-abu,The sky is grey today.,ɡreɪ
pink,merah muda,She wore a pink dress.,pɪŋk
friend,teman,She's my best friend.,frend
neighbor,tetangga,Our neighbors are friendly.,ˈneɪbə
cousin,sepupu,My cousin lives abroad.,ˈkʌzn
uncle,paman,My uncle visited us yesterday.,ˈʌŋkl
ant,semut,There are ants in the kitchen.,ænt
butterfly,kupu-kupu,A beautiful butterfly landed on the flower.,ˈbʌtəflaɪ
mosquito,nyamuk,Use repellent for mosquitos.,məˈskiːtəʊ
spider,laba-laba,There's a spider in the corner.,ˈspaɪdə
bee,lebah,The bee is collecting honey.,biː
excuse me,permisi,"Excuse me, could you help me?",ɪkˈskjuːs miː
you're welcome,sama-sama,"You're welcome, happy to help.",jɔː ˈwelkəm
good morning,selamat pagi,"Good morning, how are you?",ɡʊd ˈmɔːnɪŋ
good night,selamat malam,"Good night, sleep well.",ɡʊd naɪt
see you later,sampai jumpa,See you later at the meeting.,siː juː ˈleɪtə
what,apa,What is your name?,wɒt
where,dimana,Where are you going?,weə
when,kapan,When is the party?,wen
who,siapa,Who is that person?,huː
why,mengapa,Why are you late?,waɪ
jogging,joging,I go jogging every morning.,ˈdʒɒɡɪŋ
cycling,bersepeda,Cycling is good exercise.,ˈsaɪklɪŋ
hiking,mendaki,We went hiking in the mountains.,ˈhaɪkɪŋ
skating,bermain sepatu roda,The children are skating.,ˈskeɪtɪŋ
surfing,berselancar,He goes surfing on weekends.,ˈsɜːfɪŋ
wood,kayu,This table is made of wood.,wʊd
plastic,plastik,Don't use plastic bags.,ˈplæstɪk
metal,logam,The metal is very strong.,ˈmetl
glass,kaca,Be careful with the glass.,ɡlɑːs
rubber,karet,The tires are made of rubber.,ˈrʌbə
circle,lingkaran,Draw a circle here.,ˈsɜːkl
square,persegi,The room is square.,skweə
triangle,segitiga,This is a triangle shape.,ˈtraɪæŋɡl
rectangle,persegi panjang,The paper is rectangle.,ˈrektæŋɡl
oval,oval,The mirror has an oval shape.,ˈəʊvl
brave,berani,He is very brave.,breɪv
shy,pemalu,She is shy around strangers.,ʃaɪ
clever,pandai,What a clever solution!,ˈklevə
patient,sabar,"Be patient, please wait.",ˈpeɪʃnt
creative,kreatif,She is very creative.,kriˈeɪtɪv
artist,seniman,She works as an artist.,ˈɑːtɪst
baker,tukang roti,The baker makes fresh bread.,ˈbeɪkə
farmer,petani,My grandfather was a farmer.,ˈfɑːmə
mechanic,montir,Call the mechanic to fix the car.,məˈkænɪk
scientist,ilmuwan,She is a famous scientist.,ˈsaɪəntɪst
flu,flu,I caught the flu.,fluː
cold,pilek,I have a cold today.,kəʊld
diabetes,diabetes,He has type 2 diabetes.,ˌdaɪəˈbiːtiːz
asthma,asma,She has asthma problems.,ˈæsmə
migraine,migren,I get frequent migraines.,ˈmaɪɡreɪn
minute,menit,"Wait a minute, please.",ˈmɪnɪt
hour,jam,The meeting lasted an hour.,aʊə
week,minggu,See you next week.,wiːk
month,bulan,I'll be away for a month.,mʌnθ
year,tahun,Happy New Year!,jɪə
addition,penjumlahan,Let's do addition first.,əˈdɪʃn
subtraction,pengurangan,Practice subtraction here.,səbˈtrækʃn
multiplication,perkalian,Learn your multiplication tables.,ˌmʌltɪplɪˈkeɪʃn
division,pembagian,This division is difficult.,dɪˈvɪʒn
equals,sama dengan,Two plus two equals four.,ˈiːkwəlz
noodles,mie,I love spicy noodles.,ˈnuːdlz
soup,sup,The soup is hot.,suːp
salad,salad,I'll have a green salad.,ˈsæləd
sandwich,roti isi,Pack a sandwich for lunch.,ˈsænwɪtʃ
juice,jus,"Fresh orange juice, please.",dʒuːs
milk,susu,Drink your milk.,mɪlk
rainbow,pelangi,Look at the beautiful rainbow!,ˈreɪnbəʊ
lightning,petir,The lightning was bright.,ˈlaɪtnɪŋ
thunder,guntur,The thunder was loud.,ˈθʌndə
fog,kabut,Drive carefully in the fog.,fɒɡ
breeze,angin sepoi-sepoi,Enjoy the cool breeze.,briːz
new,baru,I bought a new car.,njuː
old,tua,This is an old building.,əʊld
fast,cepat,The train is very fast.,fɑːst
slow,lambat,The internet is slow today.,sləʊ
work,bekerja,I work from home.,wɜːk
study,belajar,I study English every day.,ˈstʌdi
rest,istirahat,Let's rest for a while.,rest
exercise,olahraga,Exercise is good for health.,ˈeksəsaɪz
buy,membeli,I want to buy new shoes.,baɪ
sell,menjual,They sell fresh vegetables.,sel
help,membantu,Can you help me?,help
think,berpikir,Let me think about it.,θɪŋk
remember,mengingat,I remember that day.,rɪˈmembə
app,aplikasi,Download the app.,æp
data,data,Save your data.,ˈdeɪtə
wifi,wifi,The wifi is slow.,ˈwaɪfaɪ
report,laporan,Submit your report today.,rɪˈpɔːt
client,klien,Meet with the client.,ˈklaɪənt
project,proyek,Work on the project.,ˈprɒdʒekt
deadline,batas waktu,Meet the deadline.,ˈdedlaɪn
game,permainan,Play a fun game.,ɡeɪm
show,pertunjukan,The show was great.,ʃəʊ
concert,konser,Attend the concert.,ˈkɒnsət
channel,saluran,Change the channel.,ˈtʃænl
post,posting,Like my new post.,pəʊst
comment,komentar,Leave a comment.,ˈkɒment
profile,profil,Update your profile.,ˈprəʊfaɪl
follow,mengikuti,Follow me on Instagram.,ˈfɒləʊ
experiment,percobaan,Do the experiment.,ɪkˈsperɪmənt
research,penelitian,Conduct research.,rɪˈsɜːtʃ
theory,teori,Test the theory.,ˈθɪəri
analysis,analisis,Complete the analysis.,əˈnæləsɪs
discovery,penemuan,Make a discovery.,dɪˈskʌvəri
pillow,bantal,Get a new pillow.,ˈpɪləʊ
blanket,selimut,Use a warm blanket.,ˈblæŋkɪt
shelf,rak,Put it on the shelf.,ʃelf
drawer,laci,Open the drawer.,drɔː
clock,jam,Check the clock.,klɒk
egg,telur,Boil the egg.,eɡ
luggage,bagasi,Pack your luggage.,ˈlʌɡɪdʒ
map,peta,Check the map.,mæp
destination,tujuan,Reach the destination.,ˌdestɪˈneɪʃn
finger,jari,Cut your fingernails.,ˈfɪŋɡə
toe,jari kaki,Stub my toe.,təʊ
back,punggung,My back hurts.,bæk
chest,dada,Take deep breaths.,tʃest
neck,leher,Turn your neck.,nek
sky,langit,Look at the sky.,skaɪ
star,bintang,Count the stars.,stɑː
moon,bulan,Full moon tonight.,muːn
flight,penerbangan,Book a flight.,flaɪt
journey,perjalanan,Long journey ahead.,ˈdʒɜːni
route,rute,Take this route.,ruːt
traffic,lalu lintas,Heavy traffic today.,ˈtræfɪk
parking,parkir,Find parking space.,ˈpɑːkɪŋ
nervous,gugup,Get nervous.,ˈnɜːvəs
calm,tenang,Stay calm.,kɑːm
stressed,stres,Feel stressed.,strest
hundred,seratus,I need one hundred copies.,ˈhʌndrəd
thousand,seribu,A thousand thanks.,ˈθaʊznd
million,juta,The city has a million people.,ˈmɪljən
first,pertama,He came in first place.,fɜːst
second,kedua,This is my second attempt.,ˈsekənd
break a leg,semoga berhasil,Break a leg at your performance!,breɪk ə leɡ
piece of cake,sangat mudah,The test was a piece of cake.,piːs əv keɪk
under the weather,tidak enak badan,I'm feeling under the weather.,ˈʌndə ðə ˈweðə
time flies,waktu berlalu cepat,Time flies when you're having fun.,taɪm flaɪz
cost an arm and a leg,sangat mahal,That car costs an arm and a leg.,kɒst ən ɑːm ænd ə leɡ
grandson,cucu laki-laki,My grandson is five years old.,ˈɡrænsʌn
granddaughter,cucu perempuan,His granddaughter plays piano.,ˈɡrændɔːtə
nephew,keponakan laki-laki,My nephew starts school this year.,ˈnefjuː
niece,keponakan perempuan,My niece loves to dance.,niːs
in-law,menantu,My mother-in-law is visiting.,ɪn lɔː
north,utara,Drive north for two miles.,nɔːθ
south,selatan,The beach is south of here.,saʊθ
east,timur,The sun rises in the east.,iːst
west,barat,The sun sets in the west.,west
nearby,dekat,There's a store nearby.,ˈnɪəbaɪ
wrench,kunci pas,Use the wrench to tighten it.,rentʃ
pliers,tang,These pliers are rusty.,ˈplaɪəz
gram,gram,Add fifty grams of sugar.,ɡræm
inch,inci,The screen is 15 inches wide.,ɪntʃ
pound,pon,I lost five pounds.,paʊnd
dizzy,pusing,I feel dizzy today.,ˈdɪzi
nausea,mual,She has nausea after eating.,ˈnɔːziə
rash,ruam,The rash is itchy.,ræʃ
swelling,bengkak,There's swelling in my ankle.,ˈswelɪŋ
notebook,buku tulis,I need a new notebook.,ˈnəʊtbʊk
backpack,tas punggung,My backpack is heavy.,ˈbækpæk
pencil case,tempat pensil,Put it in your pencil case.,ˈpensəl keɪs
calculator,kalkulator,Use a calculator for math.,ˈkælkjʊleɪtə
textbook,buku pelajaran,Bring your textbook tomorrow.,ˈtekstbʊk
appetizer,hidangan pembuka,Let's order an appetizer.,ˈæpɪtaɪzə
main course,hidangan utama,The main course was delicious.,meɪn kɔːs
beverage,minuman,Choose your beverage.,ˈbevərɪdʒ
check,bon,"Can we have the check, please?",tʃek
scanner,pemindai,Use the scanner for documents.,ˈskænə
shredder,penghancur kertas,Put it in the shredder.,ˈʃredə
photocopier,mesin fotokopi,The photocopier is broken.,ˈfəʊtəʊkɒpiə
filing cabinet,lemari arsip,Check the filing cabinet.,ˈfaɪlɪŋ ˈkæbɪnət
rake,garu,Use the rake for leaves.,reɪk
shovel,sekop,Get the shovel from the shed.,ˈʃʌvl
hose,selang,Water the plants with the hose.,həʊz
pruner,pemangkas,These pruners are sharp.,ˈpruːnə
